"","title","review"
"40","변신","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
"41","82년생 김지영","82년생 김지영여자로써 힘든건 다 사회탓 남아사상탓 빼애애애애액"
"42","82년생 김지영","러브 액츄얼리2번이 뭐야 10번을 봐도. 아니 겨울이 오면 꼭 봐줘야하는 영화 ㅠㅠ 볼때마다 좋다"
"43","82년생 김지영","82년생 김지영울다가 콧물 나왔다...꼭 보세요 진짜."
"44","타이타닉 2","봉오동 전투· 특이사항 : 설치비 면제"
"45","82년생 김지영","82년생 김지영완전 페미 우울증 환자 영화"
"46","82년생 김지영","장사리 : 잊혀진 영웅들· 특이사항 : 설치비 면제"
"47","남한산성","신의 한 수결국 매번 싸울꺼면 매번 바둑은 왜두냐?"
"48","시크릿 슈퍼스타","82년생 김지영이쯤되면 81년생 김철수 남자 이야기도 나와야하는거 아냐?  오히려 이딴 거지같은 영화가 남녀 이해는 커녕 혐오감만 유발시키는거 알제?"
"49","82년생 김지영","말레피센트 2"
"50","카센타","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
"51","조커","82년생 김지영여자로써 힘든건 다 사회탓 남아사상탓 빼애애애애액"
"52","82년생 김지영","러브 액츄얼리2번이 뭐야 10번을 봐도. 아니 겨울이 오면 꼭 봐줘야하는 영화 ㅠㅠ 볼때마다 좋다"
"53","이모 더 뮤지컬","82년생 김지영울다가 콧물 나왔다...꼭 보세요 진짜."
"54","82년생 김지영","봉오동 전투· 특이사항 : 설치비 면제"
"55","82년생 김지영","82년생 김지영완전 페미 우울증 환자 영화"
"56","82년생 김지영","장사리 : 잊혀진 영웅들· 특이사항 : 설치비 면제"
"57","양자물리학","신의 한 수결국 매번 싸울꺼면 매번 바둑은 왜두냐?"
"58","조커","82년생 김지영이쯤되면 81년생 김철수 남자 이야기도 나와야하는거 아냐?  오히려 이딴 거지같은 영화가 남녀 이해는 커녕 혐오감만 유발시키는거 알제?"
"59","와일드 로즈","말레피센트 2"
"60","명량","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
"61","곡성(哭聲)","82년생 김지영여자로써 힘든건 다 사회탓 남아사상탓 빼애애애애액"
"62","82년생 김지영","러브 액츄얼리2번이 뭐야 10번을 봐도. 아니 겨울이 오면 꼭 봐줘야하는 영화 ㅠㅠ 볼때마다 좋다"
"63","82년생 김지영","82년생 김지영울다가 콧물 나왔다...꼭 보세요 진짜."
"64","82년생 김지영","봉오동 전투· 특이사항 : 설치비 면제"
"65","82년생 김지영","82년생 김지영완전 페미 우울증 환자 영화"
"66","조커","장사리 : 잊혀진 영웅들· 특이사항 : 설치비 면제"
"67","82년생 김지영","신의 한 수결국 매번 싸울꺼면 매번 바둑은 왜두냐?"
"68","82년생 김지영","82년생 김지영이쯤되면 81년생 김철수 남자 이야기도 나와야하는거 아냐?  오히려 이딴 거지같은 영화가 남녀 이해는 커녕 혐오감만 유발시키는거 알제?"
"69","82년생 김지영","말레피센트 2"
"70","82년생 김지영","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
"71","퍼펙트맨","82년생 김지영여자로써 힘든건 다 사회탓 남아사상탓 빼애애애애액"
"72","82년생 김지영","러브 액츄얼리2번이 뭐야 10번을 봐도. 아니 겨울이 오면 꼭 봐줘야하는 영화 ㅠㅠ 볼때마다 좋다"
"73","82년생 김지영","82년생 김지영울다가 콧물 나왔다...꼭 보세요 진짜."
"74","조커","봉오동 전투· 특이사항 : 설치비 면제"
"75","그것: 두 번째 이야기","82년생 김지영완전 페미 우울증 환자 영화"
"76","82년생 김지영","장사리 : 잊혀진 영웅들· 특이사항 : 설치비 면제"
"77","안시성","신의 한 수결국 매번 싸울꺼면 매번 바둑은 왜두냐?"
"78","테이큰","82년생 김지영이쯤되면 81년생 김철수 남자 이야기도 나와야하는거 아냐?  오히려 이딴 거지같은 영화가 남녀 이해는 커녕 혐오감만 유발시키는거 알제?"
"79","82년생 김지영","말레피센트 2"
"80","신문기자","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
"81","82년생 김지영","82년생 김지영여자로써 힘든건 다 사회탓 남아사상탓 빼애애애애액"
"82","조커","러브 액츄얼리2번이 뭐야 10번을 봐도. 아니 겨울이 오면 꼭 봐줘야하는 영화 ㅠㅠ 볼때마다 좋다"
"83","82년생 김지영","82년생 김지영울다가 콧물 나왔다...꼭 보세요 진짜."
"84","82년생 김지영","봉오동 전투· 특이사항 : 설치비 면제"
"85","82년생 김지영","82년생 김지영완전 페미 우울증 환자 영화"
"86","82년생 김지영","장사리 : 잊혀진 영웅들· 특이사항 : 설치비 면제"
"87","82년생 김지영","신의 한 수결국 매번 싸울꺼면 매번 바둑은 왜두냐?"
"88","캡틴 마블","82년생 김지영이쯤되면 81년생 김철수 남자 이야기도 나와야하는거 아냐?  오히려 이딴 거지같은 영화가 남녀 이해는 커녕 혐오감만 유발시키는거 알제?"
"89","조커","말레피센트 2"
"90","82년생 김지영","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
"91","82년생 김지영","82년생 김지영여자로써 힘든건 다 사회탓 남아사상탓 빼애애애애액"
"92","연가시","러브 액츄얼리2번이 뭐야 10번을 봐도. 아니 겨울이 오면 꼭 봐줘야하는 영화 ㅠㅠ 볼때마다 좋다"
"93","조커","82년생 김지영울다가 콧물 나왔다...꼭 보세요 진짜."
"94","82년생 김지영","봉오동 전투· 특이사항 : 설치비 면제"
"95","러브 액츄얼리","82년생 김지영완전 페미 우울증 환자 영화"
"96","82년생 김지영","장사리 : 잊혀진 영웅들· 특이사항 : 설치비 면제"
"97","봉오동 전투","신의 한 수결국 매번 싸울꺼면 매번 바둑은 왜두냐?"
"98","장사리 : 잊혀진 영웅들","82년생 김지영이쯤되면 81년생 김철수 남자 이야기도 나와야하는거 아냐?  오히려 이딴 거지같은 영화가 남녀 이해는 커녕 혐오감만 유발시키는거 알제?"
"99","신의 한 수","말레피센트 2"
"100","82년생 김지영","82년생 김지영저도 남자이지만, 영화를 보지도 않고 별점테러를 한다거나 비아냥거리는 태도는 잘못되었다고 생각합니다. 그렇지만, 한국 남자들은 조폭영화나 보란다거나, 찌질하다는 식의 일반화를 하게 된다면 남녀 간의 갈등이 보다 심각해지지 않을까요?예전 여성의 인권이 남성의 인권에 비해 보장받지 못한것도 맞지만, 그렇다고 남성의 인권을 낮추는 것 또한 맞지 않습니다. 남성, 여성의 인권 모두 더욱 존중받고 보장받아야 맞겠지요. 여성의 인권 향상을 지지하는 남성들도 있으나, 모든 남성분들을 나쁘게 표현하며 비하하는 행동은 좋지 않다고 생각합니다. 서로 존중하며 서로의 인권을 보장받을 수 있도록 노력하는것이 가장 올바르다고 생각합니다."
